codigo,sexo,casou_alguma_vez,idade,graduado,profissao,experiencia_profissional,pontuacao_gastos,tamanho_familia,v1
459121,Feminino,Sim,51,Sim,Artista,3.0,Média,6.0,Cat_6
459123,Feminino,Sim,86,Não,Artista,1.0,Alta,2.0,Cat_6
459130,Feminino,Sim,74,Não,Direito,1.0,Alta,2.0,Cat_6
459132,Masculino,Não,23,Não,Entretenimento,6.0,Baixa,2.0,Cat_6
459136,Masculino,Sim,47,Sim,Artista,0.0,Média,2.0,Cat_6
459140,Feminino,Não,19,Não,Enfermagem,7.0,Baixa,6.0,Cat_6
459143,Masculino,Sim,50,Não,Artista,0.0,Alta,4.0,Cat_6
459144,Masculino,Sim,80,Sim,Direito,,Alta,2.0,Cat_6
459145,Masculino,Sim,78,Não,Direito,,Baixa,1.0,Cat_2
459150,Feminino,Não,48,Sim,Medicina,0.0,Baixa,1.0,Cat_6
459160,Masculino,Sim,70,Sim,Medicina,1.0,Média,2.0,Cat_6
459161,Masculino,Sim,50,Sim,Empreendedorismo,3.0,Alta,5.0,Cat_6
459162,Feminino,Sim,83,Sim,Direito,0.0,Alta,2.0,Cat_6
459163,Masculino,Não,35,Sim,Entretenimento,0.0,Baixa,1.0,Cat_6
459167,Feminino,Não,36,Sim,Artista,0.0,Baixa,2.0,Cat_5
459170,Feminino,Não,35,Sim,Artista,1.0,Baixa,1.0,Cat_6
459171,Masculino,Sim,35,Sim,Artista,0.0,Média,2.0,Cat_6
459172,Masculino,Não,18,Não,Enfermagem,3.0,Baixa,3.0,Cat_2
459175,Feminino,Sim,73,Sim,Artista,1.0,Média,2.0,Cat_6
459181,Masculino,Sim,62,Não,Artista,1.0,Alta,3.0,Cat_6
459182,Feminino,Sim,46,Sim,Artista,1.0,Média,2.0,Cat_6
459184,Masculino,Sim,43,Sim,Entretenimento,0.0,Baixa,4.0,Cat_4
459185,Feminino,Não,32,Sim,Entretenimento,7.0,Baixa,1.0,Cat_6
459193,Masculino,Não,39,Sim,Artista,0.0,Baixa,1.0,Cat_6
459194,Feminino,Sim,89,Sim,Direito,0.0,Alta,2.0,Cat_6
459196,Feminino,Não,18,Não,Enfermagem,0.0,Baixa,3.0,Cat_4
459208,Feminino,Sim,57,Sim,Artista,0.0,Alta,2.0,Cat_3
459209,Feminino,Não,18,Não,Entretenimento,0.0,Baixa,4.0,Cat_6
459210,Feminino,Sim,71,Sim,Artista,1.0,Alta,2.0,Cat_6
459212,Feminino,Sim,69,Sim,Artista,0.0,Média,2.0,Cat_6
459213,Feminino,Não,42,Sim,Enfermagem,0.0,Baixa,4.0,Cat_6
459216,Feminino,Não,36,Sim,Artista,0.0,Baixa,2.0,Cat_6
459220,Feminino,Sim,80,Sim,Direito,1.0,Alta,2.0,Cat_6
459221,Masculino,Sim,69,Não,Entretenimento,,Baixa,1.0,Cat_6
459222,Feminino,Sim,67,Sim,Artista,0.0,Média,3.0,Cat_6
459223,Feminino,Sim,47,Sim,Medicina,1.0,Média,4.0,Cat_6
459224,Feminino,Sim,49,Sim,Artista,0.0,Média,2.0,Cat_6
459227,Feminino,Sim,32,Não,Engenharia,9.0,Baixa,4.0,Cat_6
459229,Feminino,Sim,65,Sim,Direito,1.0,Média,4.0,Cat_6
459236,Feminino,Sim,78,Não,Direito,0.0,Alta,2.0,Cat_6
459237,Masculino,Não,33,Sim,Artista,1.0,Baixa,6.0,Cat_6
459244,Masculino,Sim,48,Sim,Artista,1.0,Baixa,1.0,Cat_6
459247,Masculino,Sim,58,Sim,Empreendedorismo,1.0,Média,5.0,Cat_6
459258,Feminino,Sim,83,Sim,Direito,1.0,Alta,,Cat_6
459263,Feminino,Não,30,Não,Enfermagem,9.0,Baixa,4.0,Cat_6
459264,Feminino,Não,35,Sim,Artista,0.0,Baixa,2.0,Cat_6
459266,Masculino,Não,32,Sim,Enfermagem,6.0,Baixa,5.0,Cat_6
459270,Masculino,Sim,69,Sim,Responsável pela Casa,1.0,Alta,2.0,Cat_6
459284,Feminino,Sim,71,Sim,Direito,1.0,Alta,2.0,Cat_6
459287,Masculino,Não,43,Sim,Direito,0.0,Baixa,1.0,Cat_4
459288,Masculino,Sim,37,Sim,Artista,0.0,Baixa,2.0,Cat_6
459289,Masculino,Não,42,Sim,Medicina,0.0,Baixa,1.0,Cat_6
459290,Feminino,Sim,70,Sim,Medicina,1.0,Média,2.0,Cat_6
459292,Masculino,Não,46,Sim,Artista,0.0,Baixa,2.0,Cat_6
459293,Masculino,Não,21,Não,Enfermagem,,Baixa,,Cat_1
459296,Masculino,Sim,70,Sim,Artista,0.0,Média,2.0,Cat_6
459300,Feminino,Sim,61,Sim,Artista,1.0,Baixa,,Cat_6
459307,Masculino,Sim,60,Sim,Entretenimento,1.0,Baixa,1.0,Cat_6
459310,Masculino,Não,37,Sim,Entretenimento,0.0,Baixa,2.0,Cat_2
459316,Masculino,Sim,30,Sim,Enfermagem,1.0,Baixa,2.0,Cat_6
459318,Feminino,Não,32,Sim,Engenharia,1.0,Baixa,3.0,Cat_6
459320,Masculino,Sim,26,Sim,Empreendedorismo,0.0,Baixa,3.0,Cat_6
459322,Masculino,Não,42,Sim,Marketing,0.0,Baixa,1.0,Cat_6
459323,Feminino,Não,18,Não,Medicina,,Baixa,,Cat_6
459338,Masculino,Sim,80,Não,Empreendedorismo,,Baixa,,Cat_6
459339,Masculino,Sim,29,Sim,Enfermagem,8.0,Alta,2.0,Cat_6
459344,Feminino,Sim,88,Sim,Artista,1.0,Alta,2.0,Cat_6
459347,Masculino,Sim,70,Sim,Direito,1.0,Baixa,1.0,Cat_6
459349,Feminino,Sim,50,Sim,Artista,1.0,Alta,4.0,Cat_6
459352,Masculino,Sim,43,Sim,Medicina,4.0,Média,4.0,Cat_3
459353,Masculino,Sim,51,Sim,Artista,6.0,Média,2.0,Cat_6
459354,Feminino,Sim,50,Sim,Artista,,Alta,3.0,Cat_6
459355,Feminino,Sim,74,Não,Responsável pela Casa,,Baixa,1.0,Cat_6
459360,Feminino,Não,29,Sim,Enfermagem,,Baixa,3.0,Cat_6
459361,Feminino,Não,32,Sim,Engenharia,,Baixa,2.0,Cat_6
459362,Masculino,Sim,60,Não,Empreendedorismo,0.0,Baixa,2.0,Cat_6
459363,Masculino,Não,46,Sim,Artista,2.0,Baixa,1.0,Cat_6
459364,Feminino,Sim,81,Sim,Marketing,0.0,Baixa,2.0,Cat_6
459369,Masculino,Sim,41,Não,Engenharia,,Média,7.0,Cat_4
459375,Masculino,Sim,22,Não,Empreendedorismo,0.0,Alta,4.0,Cat_6
459377,Masculino,Sim,37,Sim,Artista,0.0,Média,3.0,Cat_6
459383,Masculino,Sim,43,Não,Engenharia,0.0,Baixa,1.0,Cat_6
459384,Masculino,Sim,50,Sim,Artista,1.0,Média,3.0,Cat_6
459385,Feminino,Sim,35,Sim,Artista,1.0,Média,2.0,Cat_7
459386,Masculino,Sim,65,Não,Direito,1.0,Alta,2.0,Cat_6
459391,Feminino,Não,41,Sim,Engenharia,0.0,Baixa,4.0,Cat_6
459394,Masculino,Não,28,Não,Entretenimento,8.0,Baixa,2.0,Cat_6
459397,Masculino,Sim,55,Sim,Artista,4.0,Média,2.0,Cat_6
459398,Feminino,Sim,58,Não,Direito,,Alta,2.0,Cat_6
459401,Masculino,Não,28,Não,Enfermagem,1.0,Baixa,3.0,
459403,Masculino,Sim,48,Sim,Artista,,Média,4.0,Cat_7
459405,Feminino,Sim,78,Não,Medicina,1.0,Alta,2.0,Cat_6
459407,Feminino,Não,35,Sim,Medicina,1.0,Baixa,3.0,Cat_6
459409,Feminino,Sim,76,Sim,Direito,0.0,Alta,2.0,Cat_6
459410,Feminino,Sim,88,Sim,Direito,1.0,Alta,2.0,Cat_6
459412,Masculino,Sim,61,Sim,,1.0,Média,3.0,Cat_6
459413,Feminino,Sim,79,Sim,Artista,,Alta,2.0,Cat_6
459415,Masculino,Não,30,Não,Medicina,0.0,Baixa,4.0,Cat_6
459418,Masculino,Sim,69,Não,Empreendedorismo,0.0,Alta,2.0,Cat_6
459419,Masculino,Sim,65,Sim,Medicina,1.0,Média,2.0,Cat_6
459420,Feminino,Sim,70,Sim,Direito,1.0,Baixa,2.0,Cat_6
459421,Masculino,Sim,32,Não,Enfermagem,0.0,Média,4.0,Cat_6
459422,Masculino,Sim,46,Sim,Entretenimento,,Baixa,4.0,Cat_6
459423,Masculino,Não,21,Não,Enfermagem,8.0,Baixa,5.0,Cat_6
459424,Masculino,Sim,47,Sim,Medicina,,Baixa,3.0,Cat_6
459428,Feminino,Não,39,Não,Marketing,0.0,Baixa,2.0,Cat_4
459432,Masculino,Sim,85,Sim,Direito,0.0,Baixa,3.0,Cat_6
459436,Feminino,Não,66,Sim,Artista,0.0,Baixa,2.0,Cat_6
459439,Feminino,Sim,50,Sim,Artista,1.0,Média,2.0,Cat_6
459445,Feminino,Sim,42,Sim,Artista,0.0,Média,3.0,Cat_6
459447,Masculino,Sim,53,Sim,Artista,9.0,Baixa,1.0,Cat_6
459449,Masculino,Sim,37,Sim,Artista,,Baixa,2.0,Cat_6
459451,Feminino,Sim,45,Sim,Artista,1.0,Baixa,2.0,Cat_6
459456,Feminino,Não,66,Não,Direito,,Baixa,1.0,Cat_6
459458,Masculino,Não,33,Não,Marketing,,Baixa,,Cat_6
459459,Masculino,Sim,40,Sim,Artista,4.0,Baixa,1.0,Cat_6
459461,Feminino,Sim,35,Sim,Artista,1.0,Baixa,1.0,Cat_1
459464,Masculino,Não,27,Sim,Artista,,Baixa,2.0,Cat_6
459466,Feminino,Sim,48,Sim,Artista,0.0,Média,3.0,Cat_4
459467,Feminino,Sim,56,Sim,Artista,0.0,Média,2.0,Cat_6
459469,Masculino,Sim,25,Sim,Enfermagem,,Baixa,6.0,Cat_6
459471,Feminino,Não,30,Não,Artista,,Baixa,8.0,Cat_6
459480,Feminino,Sim,46,Sim,Entretenimento,7.0,Baixa,3.0,Cat_6
459481,Masculino,Sim,49,Não,Direito,0.0,Baixa,2.0,Cat_6
459482,Masculino,Sim,72,Não,Marketing,1.0,Baixa,4.0,Cat_6
459485,Feminino,Sim,79,Sim,Direito,,Alta,2.0,Cat_6
459496,Feminino,Não,35,Sim,Artista,,Baixa,3.0,Cat_6
459497,Feminino,Sim,77,Sim,Direito,0.0,Baixa,1.0,Cat_6
459499,Feminino,Sim,79,Não,Direito,,Alta,2.0,Cat_6
459503,Masculino,Sim,42,Sim,Enfermagem,6.0,Alta,4.0,Cat_6
459505,Feminino,Não,42,Sim,Engenharia,,Baixa,1.0,Cat_6
459507,Masculino,Sim,67,Não,Direito,,Alta,2.0,Cat_1
459509,Masculino,Não,26,Sim,Enfermagem,1.0,Baixa,1.0,Cat_6
459512,Masculino,Sim,67,Sim,Direito,1.0,Alta,2.0,Cat_6
459515,Masculino,Sim,55,Sim,Engenharia,1.0,Baixa,1.0,Cat_6
459516,Feminino,,56,Sim,Artista,,Média,2.0,Cat_6
459518,Masculino,Sim,63,,,,Média,4.0,Cat_6
459535,Masculino,Sim,46,Sim,Artista,8.0,Média,2.0,Cat_6
459536,Masculino,Sim,32,Sim,Enfermagem,7.0,Baixa,2.0,Cat_6
459538,Feminino,Não,49,Sim,Responsável pela Casa,13.0,Baixa,1.0,Cat_6
459541,Masculino,Sim,59,Sim,Artista,1.0,Alta,2.0,Cat_6
459549,Masculino,Não,22,Não,Enfermagem,8.0,Baixa,5.0,Cat_4
459555,Feminino,Não,28,Sim,Artista,8.0,Baixa,1.0,Cat_6
459558,Masculino,Não,28,Sim,Entretenimento,1.0,Baixa,3.0,Cat_6
459564,Masculino,Sim,75,Sim,Direito,2.0,Baixa,1.0,Cat_6
459566,Feminino,Sim,37,Sim,Artista,13.0,Baixa,2.0,Cat_6
459567,Masculino,Sim,50,Sim,Medicina,0.0,Média,2.0,Cat_6
459571,Feminino,Sim,50,Sim,Empreendedorismo,1.0,Alta,4.0,Cat_6
459576,Feminino,Sim,88,Não,Direito,,Baixa,,
459579,Feminino,Sim,35,Sim,Artista,3.0,Média,5.0,Cat_4
459581,Feminino,Não,35,Não,,,Baixa,,Cat_7
459582,Masculino,Sim,31,Não,Entretenimento,,Média,3.0,Cat_6
459583,Masculino,Sim,46,Sim,Artista,0.0,Baixa,1.0,Cat_6
459585,Feminino,Sim,50,Sim,Artista,1.0,Média,4.0,Cat_6
459587,Feminino,Não,33,Sim,Artista,7.0,Baixa,3.0,Cat_6
459588,Masculino,Sim,49,Sim,Artista,0.0,Baixa,1.0,Cat_6
459591,Masculino,Sim,52,Sim,Artista,1.0,Média,3.0,Cat_6
459592,Masculino,Não,25,Não,Enfermagem,0.0,Baixa,3.0,Cat_6
459594,Feminino,Sim,41,Sim,Artista,6.0,Baixa,1.0,Cat_6
459597,Feminino,Sim,68,Sim,Artista,0.0,Alta,2.0,Cat_6
459603,Feminino,Sim,79,Não,Direito,2.0,Alta,2.0,Cat_6
459607,Masculino,Sim,40,Sim,Entretenimento,5.0,Média,5.0,Cat_6
459608,Feminino,Não,62,Sim,Medicina,,Baixa,1.0,Cat_6
459612,Masculino,Não,21,Não,Enfermagem,,Baixa,2.0,Cat_6
459616,Feminino,Não,20,Não,Enfermagem,,Baixa,4.0,Cat_1
459617,Masculino,Não,28,Sim,Entretenimento,1.0,Baixa,5.0,Cat_6
459618,Masculino,Sim,57,Sim,Medicina,0.0,Média,2.0,Cat_4
459621,Feminino,Não,25,Não,Enfermagem,8.0,Baixa,,
459625,Feminino,Sim,63,Não,Engenharia,8.0,Baixa,1.0,Cat_6
459626,Feminino,Sim,26,Não,Entretenimento,1.0,Baixa,3.0,Cat_6
459632,Feminino,Sim,50,Não,Marketing,0.0,Alta,3.0,Cat_4
459644,Feminino,Não,30,Não,Marketing,9.0,Baixa,4.0,Cat_2
459652,Feminino,Não,26,Não,Engenharia,,Baixa,4.0,Cat_4
459658,Masculino,Sim,61,Sim,Artista,1.0,Média,3.0,Cat_6
459664,Masculino,Não,42,Sim,Artista,3.0,Baixa,1.0,Cat_6
459665,Masculino,Sim,88,Sim,Artista,4.0,Baixa,2.0,Cat_6
459672,Masculino,Sim,45,Não,Artista,3.0,Média,3.0,Cat_6
459673,Feminino,Sim,86,Sim,Direito,1.0,Baixa,1.0,Cat_6
459678,Masculino,Não,18,Não,Enfermagem,1.0,Baixa,5.0,Cat_6
459680,Masculino,Não,37,Sim,Entretenimento,,Baixa,1.0,Cat_6
459686,Masculino,Sim,46,Sim,Artista,1.0,Baixa,1.0,Cat_6
459691,Masculino,Sim,58,Não,Artista,,Média,2.0,Cat_6
459692,Feminino,Sim,72,Sim,Direito,8.0,Alta,2.0,Cat_6
459693,Feminino,Sim,50,Sim,Artista,0.0,Alta,3.0,
459699,Feminino,,56,Sim,Engenharia,8.0,Média,3.0,Cat_6
459701,Masculino,Não,46,Não,Artista,3.0,Baixa,3.0,Cat_5
459710,Masculino,Sim,57,Sim,Artista,,Baixa,1.0,Cat_6
459711,Masculino,Sim,42,Não,Empreendedorismo,9.0,Alta,6.0,Cat_6
459712,Masculino,Não,20,Não,Enfermagem,,Baixa,4.0,Cat_6
459713,Masculino,Não,19,Não,Enfermagem,,Baixa,3.0,Cat_6
459715,Masculino,Não,19,Não,Enfermagem,4.0,Baixa,4.0,Cat_6
459718,Masculino,Sim,68,Sim,Empreendedorismo,1.0,Baixa,1.0,Cat_6
459725,Feminino,Sim,40,Sim,Artista,0.0,Baixa,2.0,Cat_6
459727,Masculino,Sim,82,Não,Direito,,Alta,2.0,Cat_6
459740,Feminino,Não,23,Não,Enfermagem,1.0,Baixa,3.0,Cat_6
459742,Feminino,Sim,84,Não,Direito,1.0,Alta,2.0,Cat_6
459745,Masculino,Sim,51,Não,Artista,0.0,Baixa,4.0,Cat_1
459746,Masculino,,59,Sim,Artista,1.0,Média,2.0,Cat_6
459747,Feminino,Sim,41,Sim,Artista,1.0,Média,5.0,Cat_6
459748,Masculino,Sim,51,Não,Empreendedorismo,1.0,Alta,2.0,Cat_6
459755,Feminino,Sim,62,Não,Artista,,Média,3.0,Cat_6
459756,Feminino,Sim,62,Não,Direito,1.0,Alta,4.0,Cat_4
459760,Feminino,Sim,38,Sim,Artista,8.0,Baixa,1.0,Cat_6
459763,Masculino,Não,18,Não,Artista,,Baixa,4.0,Cat_4
459767,Masculino,Não,22,Não,Enfermagem,3.0,Baixa,4.0,Cat_6
459771,Feminino,,30,Sim,Medicina,0.0,Baixa,3.0,Cat_3
459779,Feminino,Sim,62,Sim,Entretenimento,1.0,Baixa,1.0,Cat_6
459780,Feminino,Não,43,Não,Entretenimento,1.0,Baixa,3.0,Cat_6
459785,Feminino,Não,32,Sim,Engenharia,,Baixa,1.0,Cat_3
459793,Masculino,Sim,37,Sim,Artista,1.0,Alta,,Cat_6
459795,Masculino,Não,48,Sim,Artista,1.0,Baixa,1.0,Cat_6
459801,Feminino,Não,31,Sim,Engenharia,4.0,Baixa,2.0,Cat_6
459804,Masculino,Sim,46,Não,Artista,4.0,Alta,4.0,Cat_6
459806,Feminino,Sim,49,Não,Engenharia,1.0,Média,4.0,Cat_6
459808,Masculino,Sim,43,Não,Medicina,,Média,4.0,Cat_6
459815,Masculino,Não,42,Sim,Artista,8.0,Baixa,1.0,Cat_6
459816,Masculino,Sim,37,Sim,Medicina,,Baixa,2.0,Cat_6
459819,Masculino,Sim,72,Sim,Entretenimento,,Alta,2.0,Cat_6
459821,Masculino,,71,Não,Empreendedorismo,,Alta,1.0,
459822,Feminino,Não,39,Sim,Engenharia,1.0,Baixa,1.0,Cat_4
459825,Masculino,Não,20,Não,Enfermagem,0.0,Baixa,5.0,Cat_2
459827,Feminino,Não,26,Não,,,Baixa,1.0,Cat_7
459832,Masculino,Sim,72,Sim,Empreendedorismo,1.0,Baixa,1.0,Cat_6
459845,Masculino,Sim,70,Sim,Enfermagem,0.0,Baixa,1.0,Cat_4
459851,Masculino,Não,45,Sim,Artista,2.0,Baixa,1.0,Cat_6
459853,Masculino,Não,33,Não,Empreendedorismo,7.0,Baixa,5.0,Cat_6
459856,Masculino,Sim,50,Não,Entretenimento,0.0,Média,3.0,Cat_6
459857,Masculino,Não,31,Sim,Entretenimento,6.0,Baixa,1.0,Cat_6
459861,Feminino,Sim,74,Não,Direito,1.0,Alta,2.0,Cat_6
459864,Feminino,Sim,68,Não,Artista,,Alta,2.0,Cat_6
459866,Feminino,Não,49,Sim,Artista,,Baixa,1.0,Cat_6
459867,Masculino,Sim,49,Sim,Marketing,0.0,Alta,2.0,Cat_6
459869,Feminino,Não,18,Não,Enfermagem,1.0,Baixa,3.0,Cat_6
459871,Feminino,Sim,85,Não,Entretenimento,2.0,Média,2.0,Cat_6
459885,Feminino,Não,38,Sim,Entretenimento,,Baixa,4.0,Cat_6
459886,Masculino,Sim,28,Não,Artista,0.0,Baixa,4.0,Cat_6
459887,Masculino,Sim,46,Não,Artista,3.0,Média,2.0,
459889,Masculino,Sim,59,Sim,Responsável pela Casa,9.0,Média,3.0,Cat_6
459897,Feminino,Sim,56,Sim,Artista,0.0,Baixa,2.0,Cat_6
459909,Masculino,Sim,69,Sim,Artista,0.0,Baixa,1.0,Cat_6
459910,Masculino,Sim,66,Sim,Artista,0.0,Baixa,2.0,Cat_6
459911,Masculino,Não,18,Não,Enfermagem,4.0,Baixa,6.0,Cat_2
459914,Masculino,Não,36,Sim,Artista,4.0,Baixa,1.0,Cat_4
459923,Masculino,Não,31,Sim,Marketing,1.0,Baixa,2.0,Cat_3
459925,Masculino,Sim,67,Não,Empreendedorismo,1.0,Alta,2.0,Cat_4
459937,Feminino,Não,39,Sim,Artista,7.0,Baixa,1.0,Cat_6
459943,Masculino,Não,42,Sim,Entretenimento,4.0,Baixa,3.0,Cat_6
459945,Masculino,Sim,50,Sim,Artista,0.0,Baixa,2.0,Cat_6
459946,Feminino,Sim,37,Sim,Artista,0.0,Média,2.0,Cat_6
459949,Feminino,Não,59,Sim,Artista,0.0,Baixa,1.0,Cat_6
459953,Masculino,Sim,50,Sim,Artista,8.0,Baixa,2.0,Cat_6
459961,Masculino,Sim,48,Sim,Artista,8.0,Baixa,3.0,Cat_2
459962,Masculino,Sim,55,Sim,Artista,9.0,Baixa,1.0,Cat_6
459966,Feminino,Não,33,Sim,Medicina,1.0,Baixa,3.0,Cat_6
459968,Masculino,Não,38,Sim,Artista,13.0,Baixa,1.0,Cat_7
459970,Masculino,Não,43,Sim,Artista,0.0,Baixa,2.0,Cat_6
459973,Feminino,Não,53,Sim,Artista,0.0,Baixa,2.0,Cat_6
459974,Masculino,Não,37,Sim,Entretenimento,0.0,Baixa,1.0,Cat_6
459975,Feminino,Não,36,Sim,Artista,5.0,Baixa,1.0,Cat_6
459981,Masculino,Não,36,Sim,Artista,5.0,Baixa,1.0,Cat_6
459986,Masculino,Sim,62,Sim,Artista,1.0,Baixa,1.0,Cat_6
459995,Feminino,Não,38,Não,Artista,2.0,Baixa,2.0,Cat_6
459996,Masculino,Não,55,Sim,Entretenimento,1.0,Baixa,1.0,Cat_6
459998,Masculino,Sim,60,Não,Entretenimento,1.0,Média,2.0,Cat_6
460004,Feminino,Sim,36,Sim,Entretenimento,7.0,Média,2.0,Cat_5
460006,Masculino,Não,30,Não,Entretenimento,5.0,Baixa,9.0,Cat_3
460014,Feminino,Não,66,Não,Entretenimento,4.0,Baixa,3.0,Cat_6
460023,Masculino,Sim,45,Sim,Entretenimento,1.0,Baixa,1.0,Cat_6
460027,Feminino,Não,40,Sim,Entretenimento,6.0,Baixa,,Cat_6
460033,Feminino,,45,Sim,Entretenimento,5.0,Baixa,3.0,Cat_6
460036,Masculino,Sim,41,Sim,,2.0,Baixa,1.0,Cat_6
460040,Feminino,Sim,62,Sim,Responsável pela Casa,4.0,Baixa,1.0,Cat_5
460045,Masculino,Sim,61,Sim,Artista,1.0,Baixa,2.0,Cat_6
460046,Feminino,Sim,50,Sim,Artista,4.0,Baixa,2.0,Cat_6
460050,Masculino,Sim,53,Sim,Entretenimento,3.0,Baixa,2.0,Cat_6
460051,Masculino,Não,39,Sim,Artista,7.0,Baixa,1.0,Cat_6
460052,Feminino,Não,86,Sim,Direito,0.0,Baixa,1.0,Cat_3
460058,Masculino,Sim,50,Sim,Artista,1.0,Baixa,1.0,Cat_4
460059,Feminino,Não,46,Não,Entretenimento,4.0,Baixa,,Cat_4
460061,Masculino,Não,52,Sim,Marketing,0.0,Baixa,1.0,Cat_3
460066,Feminino,Não,45,Não,Marketing,0.0,Baixa,1.0,Cat_6
460068,Feminino,Não,37,Sim,Artista,9.0,Baixa,1.0,Cat_6
460073,Feminino,Sim,36,Sim,Engenharia,3.0,Baixa,1.0,Cat_6
460075,Feminino,Não,25,Sim,Artista,,Baixa,1.0,Cat_6
460079,Feminino,Não,40,Não,Medicina,1.0,Baixa,1.0,Cat_6
460081,Masculino,Sim,41,Sim,Artista,11.0,Alta,2.0,Cat_6
460088,Feminino,Sim,25,Sim,Responsável pela Casa,,Alta,2.0,Cat_6
460090,Masculino,Sim,80,Não,Direito,4.0,Média,2.0,Cat_6
460093,Feminino,Não,46,Sim,Artista,3.0,Baixa,1.0,Cat_3
460095,Feminino,Sim,81,Sim,Direito,1.0,Baixa,1.0,Cat_6
460097,Masculino,,40,Sim,Artista,0.0,Baixa,2.0,Cat_3
460099,Masculino,Não,49,Sim,,1.0,Baixa,1.0,Cat_3
460101,Feminino,Não,26,Sim,Enfermagem,8.0,Baixa,3.0,Cat_3
460103,Masculino,Não,26,Sim,Artista,1.0,Baixa,1.0,Cat_4
460105,Feminino,Não,47,Sim,Artista,0.0,Baixa,1.0,Cat_4
460106,Feminino,Sim,71,Sim,Entretenimento,0.0,Baixa,,Cat_6
460107,Masculino,Sim,48,Sim,Engenharia,1.0,Média,5.0,Cat_6
460108,Masculino,Sim,39,Sim,Artista,1.0,Média,3.0,Cat_2
460109,Masculino,Sim,50,Sim,Artista,8.0,Média,2.0,Cat_6
460110,Feminino,Não,46,Sim,Artista,1.0,Baixa,2.0,
460112,Masculino,Sim,26,Sim,Engenharia,8.0,Média,2.0,Cat_3
460116,Feminino,Sim,42,Sim,,1.0,Baixa,2.0,Cat_6
460118,Feminino,Sim,36,Sim,Artista,4.0,Baixa,2.0,Cat_6
