codigo,sexo,casou_alguma_vez,idade,graduado,profissao,experiencia_profissional,pontuacao_gastos,tamanho_familia,v1,segmentacao
463691,Feminino,Não,33,Não,Responsável pela Casa,0.0,Baixa,3.0,Cat_6,B
463250,Feminino,Não,36,Sim,Medicina,0.0,Baixa,2.0,Cat_6,D
463952,Masculino,Sim,51,Não,Artista,4.0,Baixa,3.0,Cat_4,A
461558,Masculino,Sim,45,Sim,Engenharia,2.0,Média,2.0,Cat_6,C
466567,Feminino,Não,49,Sim,,1.0,Baixa,1.0,Cat_6,D
465379,Masculino,Não,30,Não,Enfermagem,0.0,Baixa,4.0,Cat_6,C
463814,Feminino,Não,26,Não,Enfermagem,6.0,Baixa,3.0,Cat_5,D
466938,Masculino,Sim,63,Sim,Artista,8.0,Baixa,1.0,Cat_6,A
460671,Masculino,Sim,35,Não,Entretenimento,8.0,Média,4.0,Cat_3,B
462204,Feminino,Não,19,Não,Marketing,1.0,Baixa,3.0,Cat_4,A
461671,Masculino,Não,32,Não,Enfermagem,7.0,Baixa,5.0,Cat_6,D
459384,Masculino,Sim,52,Sim,Artista,0.0,Média,3.0,Cat_6,C
459905,Feminino,Sim,36,Sim,Artista,5.0,Baixa,2.0,Cat_6,C
464734,Feminino,Não,42,Não,Entretenimento,7.0,Baixa,3.0,Cat_4,D
464125,Masculino,Sim,40,Não,Medicina,0.0,Média,2.0,Cat_3,D
467434,Masculino,Não,39,Sim,Entretenimento,0.0,Baixa,3.0,Cat_1,B
460956,Feminino,Sim,47,Sim,Artista,1.0,Média,4.0,Cat_3,C
465179,Feminino,Sim,61,Sim,Artista,1.0,Alta,2.0,Cat_6,C
463338,Masculino,Sim,32,Não,Entretenimento,1.0,Baixa,2.0,Cat_3,D
467066,Masculino,Sim,55,Não,Artista,0.0,Baixa,1.0,Cat_6,B
463845,Masculino,Sim,58,Sim,Artista,,Média,1.0,Cat_6,D
459976,Feminino,Não,38,Sim,Artista,0.0,Baixa,1.0,Cat_6,D
461334,Masculino,Sim,63,Sim,Artista,0.0,Alta,2.0,Cat_6,C
465108,Masculino,Sim,58,Sim,Medicina,1.0,Média,2.0,Cat_6,C
462600,Masculino,Sim,30,Não,Engenharia,3.0,Média,3.0,Cat_4,D
464144,Masculino,Sim,60,Sim,Artista,0.0,Média,4.0,Cat_6,C
466911,Masculino,Sim,68,Não,Empreendedorismo,1.0,Alta,7.0,Cat_6,B
462806,Masculino,Sim,52,Não,Artista,0.0,Baixa,3.0,Cat_4,A
463426,Masculino,Sim,38,Não,Empreendedorismo,0.0,Alta,5.0,Cat_6,A
464065,Feminino,Sim,35,Sim,Enfermagem,10.0,Baixa,2.0,Cat_6,B
462979,Masculino,Não,18,Não,Medicina,1.0,Baixa,2.0,Cat_6,D
462834,Masculino,Sim,30,Sim,Responsável pela Casa,3.0,Baixa,2.0,Cat_1,D
460764,Masculino,Não,86,Não,Direito,1.0,Baixa,1.0,Cat_6,D
466466,Feminino,,19,Não,Enfermagem,6.0,Baixa,5.0,Cat_3,D
460185,Masculino,Não,25,Não,Enfermagem,9.0,Baixa,3.0,Cat_6,D
459749,Masculino,Sim,59,Sim,Entretenimento,,Baixa,4.0,Cat_4,A
464406,Feminino,Não,39,Sim,Artista,0.0,Baixa,1.0,Cat_6,A
467758,Feminino,Sim,50,Sim,Medicina,1.0,Baixa,,Cat_6,B
462059,Masculino,Não,47,Sim,Artista,1.0,Baixa,1.0,Cat_6,C
467905,Masculino,Sim,43,Sim,Empreendedorismo,0.0,Alta,3.0,Cat_6,D
461177,Masculino,Sim,36,Não,Empreendedorismo,8.0,Média,4.0,Cat_1,B
460765,Masculino,Sim,80,Não,Direito,1.0,Baixa,1.0,Cat_6,D
465386,Masculino,Não,36,Sim,Artista,0.0,Baixa,2.0,Cat_2,C
465827,Masculino,Não,27,Não,,2.0,Baixa,7.0,Cat_4,D
462332,Feminino,Sim,37,Sim,Artista,1.0,Alta,2.0,Cat_7,A
464481,Masculino,Sim,46,Sim,Empreendedorismo,0.0,Alta,3.0,Cat_6,C
461011,Masculino,Sim,55,Não,Empreendedorismo,1.0,Alta,4.0,Cat_3,B
464749,Feminino,Sim,47,Não,Engenharia,9.0,Média,4.0,Cat_4,B
461094,Feminino,Não,28,Sim,Enfermagem,1.0,Baixa,3.0,Cat_3,D
462104,Masculino,Sim,39,Não,Entretenimento,9.0,Baixa,2.0,Cat_3,D
464524,Feminino,Sim,27,Não,Marketing,1.0,Baixa,2.0,Cat_6,A
466295,Feminino,Sim,42,Não,Engenharia,0.0,Baixa,,Cat_6,A
461787,Masculino,Sim,72,Sim,Artista,0.0,Média,2.0,Cat_6,C
467857,Feminino,Sim,28,Sim,Engenharia,0.0,Baixa,2.0,Cat_6,A
460153,Masculino,Não,35,Sim,Entretenimento,8.0,Baixa,5.0,Cat_6,C
465215,Masculino,Sim,39,Sim,Empreendedorismo,9.0,Alta,5.0,Cat_2,A
466746,Feminino,Sim,69,Sim,Direito,0.0,Alta,2.0,Cat_6,C
464857,Masculino,Não,18,Não,Enfermagem,6.0,Baixa,4.0,Cat_4,D
459478,Masculino,Sim,46,Sim,Artista,,Baixa,1.0,Cat_6,A
460723,Feminino,Sim,50,Sim,Engenharia,1.0,Alta,2.0,Cat_4,B
459853,Masculino,Não,30,Não,Empreendedorismo,5.0,Baixa,5.0,Cat_6,A
459390,Feminino,Não,41,Não,Artista,,Baixa,2.0,Cat_6,B
460410,Feminino,Não,39,Sim,Artista,3.0,Baixa,4.0,Cat_6,D
463823,Feminino,Não,29,Não,Marketing,8.0,Baixa,4.0,Cat_6,D
462008,Feminino,Sim,37,Sim,Artista,4.0,Baixa,4.0,Cat_5,B
459750,Feminino,Sim,39,Sim,Engenharia,0.0,Média,2.0,Cat_6,A
459880,Feminino,Sim,48,Sim,Artista,0.0,Média,5.0,Cat_7,C
459261,Feminino,Não,32,Sim,Medicina,0.0,Baixa,3.0,Cat_6,C
465656,Masculino,Sim,78,Não,Direito,1.0,Baixa,,Cat_6,B
465395,Feminino,Sim,43,Não,Engenharia,0.0,Média,5.0,Cat_4,B
461631,Masculino,Não,29,Não,Marketing,8.0,Baixa,5.0,Cat_6,C
464904,Feminino,Sim,28,Não,Engenharia,9.0,Média,2.0,Cat_4,A
461740,Masculino,Sim,80,Sim,Direito,1.0,Baixa,1.0,Cat_6,B
467092,Feminino,Não,28,Sim,Enfermagem,7.0,Baixa,4.0,Cat_6,D
464173,Masculino,Sim,71,Sim,Artista,6.0,Média,3.0,Cat_6,C
464972,Masculino,Sim,67,Não,Direito,0.0,Alta,9.0,Cat_4,A
467959,Feminino,Não,26,Não,Engenharia,0.0,Baixa,1.0,Cat_2,A
467688,Feminino,Sim,47,Sim,Engenharia,0.0,Média,2.0,Cat_6,C
460043,Feminino,Sim,43,Sim,Artista,2.0,Média,2.0,Cat_6,B
466590,Feminino,Não,27,Sim,Enfermagem,0.0,Baixa,4.0,Cat_6,C
461191,Feminino,Sim,45,Sim,Marketing,8.0,Baixa,4.0,Cat_6,D
465662,Masculino,Sim,76,Não,Empreendedorismo,1.0,Baixa,1.0,Cat_6,C
459231,Feminino,Sim,43,Sim,Artista,3.0,Média,4.0,Cat_6,C
466495,Feminino,Sim,78,Sim,Direito,1.0,Alta,2.0,Cat_6,B
459192,Masculino,Sim,35,Sim,Artista,3.0,Média,3.0,Cat_6,C
465710,Feminino,Não,49,Sim,Artista,1.0,Baixa,1.0,Cat_6,C
460258,Feminino,Não,25,Sim,Enfermagem,1.0,Baixa,5.0,Cat_6,D
462813,Masculino,Sim,37,Não,Empreendedorismo,0.0,Média,5.0,Cat_6,A
463595,Feminino,Não,32,Não,Enfermagem,1.0,Baixa,5.0,,C
467768,Masculino,Sim,60,Sim,Medicina,0.0,Média,2.0,Cat_6,C
465291,Feminino,Sim,45,Sim,Artista,5.0,Média,3.0,Cat_6,C
462996,Feminino,Sim,49,Sim,Responsável pela Casa,9.0,Média,3.0,Cat_6,C
463497,Masculino,Não,32,Sim,Artista,0.0,Baixa,5.0,Cat_6,D
465301,Feminino,Sim,40,Sim,Artista,0.0,Baixa,3.0,Cat_3,B
464702,Masculino,Sim,59,Não,Artista,2.0,Média,2.0,Cat_4,C
459012,Masculino,Sim,48,Sim,Artista,3.0,Baixa,5.0,Cat_6,B
465053,Masculino,Sim,82,Sim,Empreendedorismo,0.0,Alta,2.0,Cat_6,C
459420,Feminino,Sim,70,Sim,Direito,0.0,Baixa,2.0,Cat_6,B
464166,Masculino,Não,31,Sim,Artista,5.0,Baixa,2.0,Cat_6,B
458987,Feminino,Sim,72,Sim,Direito,0.0,Alta,2.0,Cat_6,C
467745,Masculino,Sim,50,Sim,Artista,3.0,Média,4.0,Cat_6,C
464866,Feminino,Não,23,Não,Engenharia,11.0,Baixa,1.0,Cat_3,D
461081,Feminino,Não,20,Não,Enfermagem,2.0,Baixa,6.0,Cat_6,D
467896,Feminino,Não,22,Não,Enfermagem,4.0,Baixa,3.0,Cat_6,D
463991,Feminino,Não,31,Sim,Engenharia,8.0,Baixa,1.0,Cat_6,A
466620,Feminino,Sim,36,Sim,Artista,7.0,Média,2.0,Cat_6,C
462594,Masculino,Sim,52,Não,Entretenimento,,Média,5.0,Cat_4,B
462206,Feminino,Não,29,Sim,Artista,,Baixa,1.0,Cat_4,B
460697,Masculino,Sim,40,Sim,Artista,4.0,Média,4.0,Cat_6,C
467934,Feminino,Não,40,Sim,Artista,1.0,Baixa,1.0,Cat_6,A
460054,Masculino,Sim,38,Sim,Artista,,Baixa,2.0,Cat_6,C
459576,Feminino,Sim,85,Não,Direito,,Baixa,,,A
467910,Feminino,Não,21,Não,Medicina,1.0,Baixa,3.0,Cat_7,A
467335,Feminino,Sim,41,Não,Engenharia,4.0,Média,2.0,Cat_6,D
460263,Masculino,Sim,40,Sim,Artista,0.0,Baixa,2.0,Cat_6,B
459340,Masculino,Sim,53,Sim,Artista,1.0,Média,3.0,Cat_6,B
465622,Feminino,Sim,42,Sim,Artista,5.0,Baixa,2.0,Cat_6,C
459395,Masculino,Sim,42,Não,Empreendedorismo,8.0,Baixa,2.0,Cat_6,D
467539,Masculino,Sim,48,Sim,Artista,,Média,4.0,Cat_7,C
466574,Masculino,Sim,59,Sim,Artista,7.0,Baixa,2.0,Cat_6,C
466544,Masculino,Sim,41,Sim,Empreendedorismo,1.0,Média,3.0,Cat_6,A
463610,Feminino,Sim,31,Sim,Artista,0.0,Média,2.0,Cat_6,A
465539,Feminino,Sim,49,Sim,Artista,1.0,Alta,5.0,Cat_6,B
459823,Masculino,Sim,67,Sim,Empreendedorismo,1.0,Baixa,2.0,Cat_6,A
467614,Masculino,Sim,35,Não,Artista,4.0,Média,2.0,Cat_6,B
459073,Feminino,Não,26,Sim,Enfermagem,0.0,Baixa,3.0,Cat_6,C
466065,Masculino,,19,Não,Enfermagem,9.0,Baixa,3.0,Cat_3,D
464863,Feminino,Sim,25,Não,Engenharia,6.0,Média,8.0,Cat_4,D
460022,Feminino,Sim,39,Sim,Enfermagem,4.0,Baixa,2.0,Cat_6,A
459929,Masculino,Sim,63,Sim,Entretenimento,0.0,Baixa,2.0,Cat_6,A
466613,Masculino,Não,23,Não,Enfermagem,8.0,Baixa,3.0,Cat_6,D
461149,Feminino,Não,23,Não,Enfermagem,0.0,Baixa,3.0,Cat_3,D
466068,Feminino,Sim,53,Sim,Artista,2.0,Baixa,1.0,Cat_6,C
461513,Masculino,Não,33,Sim,Medicina,0.0,Baixa,2.0,Cat_6,B
464761,Feminino,Sim,50,Não,Engenharia,,Média,4.0,Cat_2,B
466236,Feminino,Sim,69,Sim,Engenharia,0.0,Baixa,2.0,Cat_4,B
459664,Masculino,Não,37,Sim,Artista,2.0,Baixa,1.0,Cat_6,B
461967,Feminino,Não,20,Não,Marketing,3.0,Baixa,4.0,Cat_7,C
460516,Feminino,,85,Não,Direito,0.0,Alta,1.0,Cat_3,C
461710,Feminino,Sim,49,Sim,Medicina,1.0,Média,4.0,Cat_6,C
462742,Masculino,Não,18,Não,Enfermagem,0.0,Baixa,3.0,Cat_3,D
459528,Feminino,Sim,52,Sim,Medicina,0.0,Média,2.0,Cat_6,C
462691,Masculino,Sim,25,Não,Medicina,,Média,2.0,Cat_4,B
462934,Masculino,Sim,56,Não,Empreendedorismo,,Alta,2.0,Cat_6,A
465837,Masculino,Não,62,Sim,,0.0,Baixa,1.0,Cat_6,A
464613,Feminino,Não,35,,Artista,0.0,Baixa,3.0,Cat_6,B
467515,Masculino,Sim,28,Sim,Engenharia,0.0,Média,2.0,Cat_6,A
463429,Feminino,Não,28,Sim,Artista,7.0,Baixa,3.0,Cat_6,A
464024,Masculino,Não,20,Não,Enfermagem,0.0,Baixa,5.0,Cat_7,D
460691,Feminino,Não,27,Não,Responsável pela Casa,8.0,Baixa,1.0,Cat_3,D
461825,Feminino,Não,56,Não,Engenharia,,Baixa,1.0,Cat_6,A
467271,Masculino,Sim,45,Sim,Artista,4.0,Média,4.0,Cat_6,B
465634,Masculino,Não,25,Sim,Enfermagem,1.0,Baixa,4.0,Cat_4,B
464801,Masculino,Não,40,Não,Marketing,1.0,Baixa,1.0,Cat_4,D
459429,Feminino,Sim,25,Sim,Enfermagem,,Baixa,2.0,Cat_6,D
459888,Feminino,Sim,74,Não,Direito,,Alta,2.0,Cat_6,D
463467,Feminino,Não,23,Não,Enfermagem,0.0,Baixa,4.0,,D
462036,Feminino,Sim,67,Sim,Direito,0.0,Alta,2.0,Cat_6,B
461282,Masculino,Não,21,Não,Enfermagem,0.0,Baixa,4.0,,D
460448,Feminino,Não,38,Sim,Artista,9.0,Baixa,1.0,Cat_3,A
464464,Masculino,Não,28,Não,Enfermagem,0.0,Baixa,4.0,Cat_2,C
462410,Feminino,Não,32,Não,Enfermagem,1.0,Baixa,5.0,Cat_7,B
467252,Feminino,Não,33,Sim,,0.0,Baixa,4.0,,D
459756,Feminino,Sim,56,Não,Direito,1.0,Alta,4.0,Cat_4,B
463789,Feminino,Sim,53,Sim,Artista,1.0,Baixa,2.0,Cat_6,C
466947,Masculino,Sim,57,Não,Empreendedorismo,1.0,Alta,5.0,Cat_6,C
464150,Feminino,Sim,59,Sim,Artista,0.0,Média,3.0,Cat_6,C
465693,Feminino,Sim,25,Sim,Enfermagem,1.0,Alta,4.0,Cat_4,A
461670,Masculino,Sim,59,Sim,Artista,0.0,Média,6.0,Cat_6,C
466768,Feminino,Sim,36,Sim,Artista,0.0,Baixa,4.0,Cat_6,C
461550,Masculino,Sim,37,Sim,Entretenimento,7.0,Baixa,2.0,Cat_6,A
462438,Masculino,Não,22,Não,Medicina,1.0,Baixa,3.0,Cat_2,D
460704,Masculino,Sim,43,Sim,Artista,1.0,Baixa,2.0,Cat_6,B
464884,Masculino,Sim,41,Sim,Artista,1.0,Baixa,2.0,Cat_4,A
467050,Feminino,Não,21,Não,Engenharia,0.0,Baixa,5.0,Cat_2,B
460738,Feminino,Não,49,Não,Engenharia,1.0,Baixa,,Cat_7,A
466176,Masculino,Não,38,Sim,Medicina,8.0,Baixa,1.0,Cat_2,B
459488,Masculino,Sim,47,Não,Artista,,Média,4.0,Cat_6,A
467773,Masculino,Sim,70,Sim,Direito,1.0,Alta,3.0,Cat_6,C
465425,Feminino,Não,31,Não,Engenharia,1.0,Baixa,4.0,Cat_6,B
462318,Feminino,Sim,82,Não,Direito,0.0,Média,2.0,Cat_6,A
466078,Feminino,Sim,51,Não,Empreendedorismo,,Baixa,1.0,Cat_6,A
460792,Feminino,Não,42,Não,Responsável pela Casa,11.0,Baixa,,Cat_6,A
460197,Masculino,Não,38,Sim,Artista,8.0,Baixa,3.0,Cat_2,A
459375,Masculino,Sim,18,Não,Empreendedorismo,0.0,Alta,4.0,Cat_6,A
463862,Masculino,Sim,50,Sim,Artista,6.0,Média,3.0,Cat_6,C
460144,Feminino,Não,46,Sim,Medicina,1.0,Baixa,,Cat_3,A
462721,Feminino,Sim,72,Não,Direito,1.0,Alta,3.0,Cat_6,D
459637,Feminino,Não,33,Não,Engenharia,,Baixa,4.0,Cat_6,C
465809,Feminino,Não,25,Não,Responsável pela Casa,1.0,Baixa,7.0,Cat_4,B
466915,Feminino,Sim,75,Não,Entretenimento,2.0,Alta,2.0,Cat_2,D
467343,Masculino,Não,72,Sim,Artista,1.0,Baixa,1.0,Cat_6,B
466268,Feminino,Sim,72,Sim,Artista,0.0,Média,3.0,Cat_4,C
464868,Masculino,Sim,36,Sim,Entretenimento,6.0,Baixa,6.0,Cat_4,A
464038,Masculino,Sim,40,Sim,Artista,1.0,Baixa,2.0,Cat_6,A
460176,Feminino,Não,28,Sim,Entretenimento,0.0,Baixa,4.0,Cat_6,C
462161,Feminino,Não,28,Sim,Medicina,0.0,Baixa,3.0,Cat_6,D
464841,Masculino,,19,Não,Entretenimento,0.0,Alta,3.0,Cat_4,D
464893,Masculino,Sim,43,Sim,Artista,0.0,Baixa,2.0,Cat_4,B
464443,Feminino,Sim,35,Sim,Artista,1.0,Média,2.0,Cat_6,B
467619,Masculino,Sim,65,Sim,Direito,1.0,Alta,2.0,Cat_6,B
465974,Masculino,Sim,52,Sim,Empreendedorismo,7.0,Alta,4.0,Cat_4,C
462075,Feminino,Não,40,Sim,Artista,1.0,Baixa,1.0,Cat_6,B
459494,Feminino,Sim,69,Não,Engenharia,9.0,Baixa,3.0,Cat_6,A
466921,Feminino,Não,22,Não,Enfermagem,3.0,Baixa,3.0,Cat_6,D
463544,Masculino,Sim,47,Sim,Empreendedorismo,1.0,Média,4.0,Cat_6,C
461167,Masculino,Sim,29,Sim,Marketing,1.0,Alta,2.0,Cat_3,A
467364,Masculino,Sim,46,Sim,Artista,1.0,Média,3.0,Cat_3,C
462408,Masculino,Não,32,Sim,Artista,1.0,Baixa,2.0,Cat_6,A
466224,Feminino,Não,38,Sim,Enfermagem,0.0,Baixa,1.0,Cat_2,C
465151,Masculino,Sim,59,Sim,Artista,0.0,Baixa,1.0,Cat_6,B
467216,Feminino,Não,26,Sim,Entretenimento,1.0,Baixa,1.0,Cat_6,D
460586,Masculino,Não,26,Sim,Enfermagem,1.0,Baixa,2.0,Cat_3,A
461197,Masculino,Não,28,Não,Marketing,0.0,Baixa,1.0,Cat_3,D
462776,Feminino,Sim,53,Sim,Engenharia,1.0,Média,3.0,Cat_6,C
465058,Feminino,Não,43,,Entretenimento,,Baixa,1.0,Cat_6,B
464088,Masculino,Não,27,Não,Medicina,1.0,Baixa,3.0,Cat_6,D
459471,Feminino,Não,32,Não,Artista,,Baixa,8.0,Cat_6,C
464695,Masculino,Não,26,Não,Engenharia,0.0,Baixa,4.0,Cat_4,D
462331,Feminino,Não,31,Não,Entretenimento,0.0,Baixa,2.0,Cat_6,D
466523,Masculino,Sim,39,Sim,Empreendedorismo,1.0,Alta,3.0,Cat_3,B
465337,Feminino,Sim,43,Não,Engenharia,1.0,Baixa,3.0,Cat_7,A
460834,Masculino,Sim,25,Não,Medicina,1.0,Baixa,2.0,Cat_1,A
466824,Masculino,Sim,40,Sim,Artista,3.0,Alta,3.0,Cat_6,A
461607,Feminino,Sim,40,Sim,Entretenimento,7.0,Média,2.0,Cat_3,B
465091,Masculino,Sim,63,Sim,Entretenimento,,Média,3.0,Cat_6,C
459532,Feminino,Sim,27,Sim,Enfermagem,,Baixa,2.0,Cat_6,D
466999,Masculino,Não,27,Sim,Enfermagem,1.0,Baixa,3.0,Cat_6,D
466597,Feminino,Não,19,Não,Enfermagem,1.0,Baixa,2.0,Cat_6,D
464075,Feminino,Sim,86,Sim,Direito,0.0,Alta,2.0,Cat_6,B
463394,Masculino,Sim,41,Sim,Marketing,,Alta,2.0,Cat_6,B
462163,Feminino,Sim,27,Sim,Artista,4.0,Média,2.0,Cat_3,C
463895,Feminino,Sim,70,Não,Medicina,0.0,Média,2.0,Cat_6,B
464767,Feminino,Sim,53,Não,Engenharia,8.0,Média,4.0,Cat_4,B
464763,Feminino,Sim,49,Não,Engenharia,,Média,4.0,Cat_4,B
460718,Masculino,Sim,55,Não,Empreendedorismo,3.0,Baixa,,Cat_4,D
461989,Feminino,,57,Sim,Engenharia,0.0,Média,4.0,Cat_2,C
466374,Masculino,Sim,83,Não,Direito,,Baixa,1.0,Cat_4,B
463738,Masculino,Sim,43,Não,Empreendedorismo,0.0,Alta,4.0,Cat_6,A
465967,Masculino,Sim,36,Não,Medicina,6.0,Baixa,3.0,Cat_6,A
462260,Masculino,Sim,74,Sim,Direito,0.0,Baixa,2.0,Cat_6,C
467234,Feminino,Não,30,Não,Responsável pela Casa,0.0,Baixa,4.0,Cat_6,D
466573,Feminino,Não,37,Sim,Artista,5.0,Baixa,2.0,Cat_6,B
463229,Feminino,Não,22,Não,Marketing,0.0,Baixa,1.0,Cat_5,B
459768,Masculino,Não,19,Não,Enfermagem,0.0,Baixa,4.0,Cat_6,D
462541,Masculino,Sim,70,Sim,Engenharia,4.0,Alta,2.0,Cat_6,B
467714,Masculino,Sim,89,Sim,Direito,13.0,Baixa,1.0,Cat_6,A
467730,Masculino,Não,18,Não,Enfermagem,,Baixa,4.0,Cat_6,D
459474,Masculino,Não,25,Sim,Medicina,6.0,Baixa,1.0,Cat_2,D
460093,Feminino,Não,45,Sim,Artista,4.0,Baixa,1.0,Cat_3,A
