codigo,sexo,casou_alguma_vez,idade,graduado,profissao,experiencia_profissional,pontuacao_gastos,tamanho_familia
462454,Masculino,Nao,19,Nao,Enfermagem,1,Baixa,3
467010,Masculino,Nao,26,Nao,Responsavel pela Casa,9,Baixa,
459861,Feminino,Sim,83,Nao,Direito,1,Alta,2
467917,Feminino,Nao,27,Sim,Enfermagem,3,Baixa,4
465572,Masculino,Nao,32,Nao,Medicina,5,Baixa,1
460593,Feminino,Sim,28,Nao,Enfermagem,1,Media,5
465891,Feminino,Sim,28,Sim,Artista,8,Baixa,2
467442,Masculino,Sim,56,Sim,Artista,,Media,2
462044,Feminino,Nao,47,Sim,Artista,4,Baixa,1
465686,Feminino,Nao,22,Nao,Enfermagem,0,Baixa,2
464590,Feminino,Nao,27,Sim,Artista,14,Baixa,3
466006,Feminino,Sim,49,Sim,Artista,1,Baixa,2
466152,Masculino,Sim,40,Nao,Engenharia,8,Baixa,1
463156,Feminino,Sim,79,Nao,Direito,,Alta,2
465729,Masculino,Sim,41,Sim,Artista,0,Media,4
462384,Feminino,Nao,29,Sim,Enfermagem,,Baixa,1
462442,Masculino,Nao,19,Nao,Enfermagem,0,Baixa,4
464191,Feminino,Nao,45,Sim,Engenharia,1,Baixa,1
462078,Feminino,Sim,61,Nao,Artista,1,Media,2
467873,Feminino,Sim,36,Sim,Artista,1,Media,2
461270,Masculino,Sim,40,Sim,Artista,1,Baixa,1
462960,Feminino,Sim,57,Sim,Entretenimento,0,Media,2
464961,Masculino,Sim,76,Nao,Marketing,1,Baixa,1
462110,Masculino,Sim,32,Sim,Artista,14,Media,2
465769,Masculino,Nao,25,Sim,Enfermagem,9,Baixa,4
462267,Masculino,Nao,32,,Medicina,8,Baixa,2
465269,Feminino,Sim,45,Sim,Artista,1,Media,3
460881,Masculino,Sim,72,Sim,Direito,1,Baixa,
461891,Masculino,Sim,48,Sim,Artista,0,Media,2
466935,Masculino,Sim,55,Sim,Artista,9,Media,2
464091,Masculino,Sim,74,Sim,Direito,0,Alta,3
464535,Masculino,Sim,56,Sim,Direito,1,Alta,2
463108,Masculino,Sim,59,Sim,Direito,7,Alta,2
461356,Masculino,Nao,25,Sim,Entretenimento,0,Baixa,2
464570,Masculino,Sim,31,Sim,Medicina,0,Media,2
464580,Masculino,Nao,27,Nao,Artista,8,Baixa,4
465233,Masculino,Sim,57,Sim,Artista,0,Media,4
467208,Feminino,Sim,39,Sim,Responsavel pela Casa,,Alta,2
459954,Masculino,Sim,27,Sim,Enfermagem,8,Baixa,2
460219,Feminino,Sim,51,Sim,Entretenimento,8,Media,2
460877,Feminino,Sim,47,Nao,Artista,0,Media,5
460191,Feminino,Nao,33,Nao,Enfermagem,8,Baixa,4
463742,Masculino,Sim,56,Sim,Artista,0,Media,4
463691,Feminino,Nao,33,Nao,Responsavel pela Casa,0,Baixa,3
463250,Feminino,Nao,36,Sim,Medicina,0,Baixa,2
463952,Masculino,Sim,51,Nao,Artista,4,Baixa,3
461558,Masculino,Sim,45,Sim,Engenharia,2,Media,2
466567,Feminino,Nao,49,Sim,,1,Baixa,1
465379,Masculino,Nao,30,Nao,Enfermagem,0,Baixa,4
463814,Feminino,Nao,26,Nao,Enfermagem,6,Baixa,3
466938,Masculino,Sim,63,Sim,Artista,8,Baixa,1
460671,Masculino,Sim,35,Nao,Entretenimento,8,Media,4
462204,Feminino,Nao,19,Nao,Marketing,1,Baixa,3
461671,Masculino,Nao,32,Nao,Enfermagem,7,Baixa,5
459384,Masculino,Sim,52,Sim,Artista,0,Media,3
459905,Feminino,Sim,36,Sim,Artista,5,Baixa,2
464734,Feminino,Nao,42,Nao,Entretenimento,7,Baixa,3
464125,Masculino,Sim,40,Nao,Medicina,0,Media,2
467434,Masculino,Nao,39,Sim,Entretenimento,0,Baixa,3
460956,Feminino,Sim,47,Sim,Artista,1,Media,4
465179,Feminino,Sim,61,Sim,Artista,1,Alta,2
463338,Masculino,Sim,32,Nao,Entretenimento,1,Baixa,2
467066,Masculino,Sim,55,Nao,Artista,0,Baixa,1
463845,Masculino,Sim,58,Sim,Artista,,Media,1
459976,Feminino,Nao,38,Sim,Artista,0,Baixa,1
461334,Masculino,Sim,63,Sim,Artista,0,Alta,2
465108,Masculino,Sim,58,Sim,Medicina,1,Media,2
462600,Masculino,Sim,30,Nao,Engenharia,3,Media,3
464144,Masculino,Sim,60,Sim,Artista,0,Media,4
466911,Masculino,Sim,68,Nao,Empreendedorismo,1,Alta,7
462806,Masculino,Sim,52,Nao,Artista,0,Baixa,3
463426,Masculino,Sim,38,Nao,Empreendedorismo,0,Alta,5
464065,Feminino,Sim,35,Sim,Enfermagem,10,Baixa,2
462979,Masculino,Nao,18,Nao,Medicina,1,Baixa,2
462834,Masculino,Sim,30,Sim,Responsavel pela Casa,3,Baixa,2
460764,Masculino,Nao,86,Nao,Direito,1,Baixa,1
466466,Feminino,,19,Nao,Enfermagem,6,Baixa,5
460185,Masculino,Nao,25,Nao,Enfermagem,9,Baixa,3
459749,Masculino,Sim,59,Sim,Entretenimento,,Baixa,4
464406,Feminino,Nao,39,Sim,Artista,0,Baixa,1
467758,Feminino,Sim,50,Sim,Medicina,1,Baixa,
462059,Masculino,Nao,47,Sim,Artista,1,Baixa,1
467905,Masculino,Sim,43,Sim,Empreendedorismo,0,Alta,3
461177,Masculino,Sim,36,Nao,Empreendedorismo,8,Media,4
460765,Masculino,Sim,80,Nao,Direito,1,Baixa,1
465386,Masculino,Nao,36,Sim,Artista,0,Baixa,2
465827,Masculino,Nao,27,Nao,,2,Baixa,7
462332,Feminino,Sim,37,Sim,Artista,1,Alta,2
464481,Masculino,Sim,46,Sim,Empreendedorismo,0,Alta,3
461011,Masculino,Sim,55,Nao,Empreendedorismo,1,Alta,4
464749,Feminino,Sim,47,Nao,Engenharia,9,Media,4
461094,Feminino,Nao,28,Sim,Enfermagem,1,Baixa,3
462104,Masculino,Sim,39,Nao,Entretenimento,9,Baixa,2
464524,Feminino,Sim,27,Nao,Marketing,1,Baixa,2
466295,Feminino,Sim,42,Nao,Engenharia,0,Baixa,
461787,Masculino,Sim,72,Sim,Artista,0,Media,2
467857,Feminino,Sim,28,Sim,Engenharia,0,Baixa,2
460153,Masculino,Nao,35,Sim,Entretenimento,8,Baixa,5
465215,Masculino,Sim,39,Sim,Empreendedorismo,9,Alta,5
466746,Feminino,Sim,69,Sim,Direito,0,Alta,2
464857,Masculino,Nao,18,Nao,Enfermagem,6,Baixa,4
459478,Masculino,Sim,46,Sim,Artista,,Baixa,1
460723,Feminino,Sim,50,Sim,Engenharia,1,Alta,2
459853,Masculino,Nao,30,Nao,Empreendedorismo,5,Baixa,5
459390,Feminino,Nao,41,Nao,Artista,,Baixa,2
460410,Feminino,Nao,39,Sim,Artista,3,Baixa,4
463823,Feminino,Nao,29,Nao,Marketing,8,Baixa,4
462008,Feminino,Sim,37,Sim,Artista,4,Baixa,4
459750,Feminino,Sim,39,Sim,Engenharia,0,Media,2
459880,Feminino,Sim,48,Sim,Artista,0,Media,5
459261,Feminino,Nao,32,Sim,Medicina,0,Baixa,3
465656,Masculino,Sim,78,Nao,Direito,1,Baixa,
465395,Feminino,Sim,43,Nao,Engenharia,0,Media,5
461631,Masculino,Nao,29,Nao,Marketing,8,Baixa,5
464904,Feminino,Sim,28,Nao,Engenharia,9,Media,2
461740,Masculino,Sim,80,Sim,Direito,1,Baixa,1
467092,Feminino,Nao,28,Sim,Enfermagem,7,Baixa,4
464173,Masculino,Sim,71,Sim,Artista,6,Media,3
464972,Masculino,Sim,67,Nao,Direito,0,Alta,9
467959,Feminino,Nao,26,Nao,Engenharia,0,Baixa,1
467688,Feminino,Sim,47,Sim,Engenharia,0,Media,2
460043,Feminino,Sim,43,Sim,Artista,2,Media,2
466590,Feminino,Nao,27,Sim,Enfermagem,0,Baixa,4
461191,Feminino,Sim,45,Sim,Marketing,8,Baixa,4
465662,Masculino,Sim,76,Nao,Empreendedorismo,1,Baixa,1
459231,Feminino,Sim,43,Sim,Artista,3,Media,4
466495,Feminino,Sim,78,Sim,Direito,1,Alta,2
459192,Masculino,Sim,35,Sim,Artista,3,Media,3
465710,Feminino,Nao,49,Sim,Artista,1,Baixa,1
460258,Feminino,Nao,25,Sim,Enfermagem,1,Baixa,5
462813,Masculino,Sim,37,Nao,Empreendedorismo,0,Media,5
463595,Feminino,Nao,32,Nao,Enfermagem,1,Baixa,5
467768,Masculino,Sim,60,Sim,Medicina,0,Media,2
465291,Feminino,Sim,45,Sim,Artista,5,Media,3
462996,Feminino,Sim,49,Sim,Responsavel pela Casa,9,Media,3
463497,Masculino,Nao,32,Sim,Artista,0,Baixa,5
465301,Feminino,Sim,40,Sim,Artista,0,Baixa,3
464702,Masculino,Sim,59,Nao,Artista,2,Media,2
459012,Masculino,Sim,48,Sim,Artista,3,Baixa,5
465053,Masculino,Sim,82,Sim,Empreendedorismo,0,Alta,2
459420,Feminino,Sim,70,Sim,Direito,0,Baixa,2
464166,Masculino,Nao,31,Sim,Artista,5,Baixa,2
458987,Feminino,Sim,72,Sim,Direito,0,Alta,2
467745,Masculino,Sim,50,Sim,Artista,3,Media,4
464866,Feminino,Nao,23,Nao,Engenharia,11,Baixa,1
461081,Feminino,Nao,20,Nao,Enfermagem,2,Baixa,6
467896,Feminino,Nao,22,Nao,Enfermagem,4,Baixa,3
463991,Feminino,Nao,31,Sim,Engenharia,8,Baixa,1
466620,Feminino,Sim,36,Sim,Artista,7,Media,2
462594,Masculino,Sim,52,Nao,Entretenimento,,Media,5
462206,Feminino,Nao,29,Sim,Artista,,Baixa,1
460697,Masculino,Sim,40,Sim,Artista,4,Media,4
467934,Feminino,Nao,40,Sim,Artista,1,Baixa,1
460054,Masculino,Sim,38,Sim,Artista,,Baixa,2
459576,Feminino,Sim,85,Nao,Direito,,Baixa,
467910,Feminino,Nao,21,Nao,Medicina,1,Baixa,3
467335,Feminino,Sim,41,Nao,Engenharia,4,Media,2
460263,Masculino,Sim,40,Sim,Artista,0,Baixa,2
459340,Masculino,Sim,53,Sim,Artista,1,Media,3
465622,Feminino,Sim,42,Sim,Artista,5,Baixa,2
459395,Masculino,Sim,42,Nao,Empreendedorismo,8,Baixa,2
467539,Masculino,Sim,48,Sim,Artista,,Media,4
466574,Masculino,Sim,59,Sim,Artista,7,Baixa,2
466544,Masculino,Sim,41,Sim,Empreendedorismo,1,Media,3
463610,Feminino,Sim,31,Sim,Artista,0,Media,2
465539,Feminino,Sim,49,Sim,Artista,1,Alta,5
459823,Masculino,Sim,67,Sim,Empreendedorismo,1,Baixa,2
467614,Masculino,Sim,35,Nao,Artista,4,Media,2
459073,Feminino,Nao,26,Sim,Enfermagem,0,Baixa,3
466065,Masculino,,19,Nao,Enfermagem,9,Baixa,3
464863,Feminino,Sim,25,Nao,Engenharia,6,Media,8
460022,Feminino,Sim,39,Sim,Enfermagem,4,Baixa,2
459929,Masculino,Sim,63,Sim,Entretenimento,0,Baixa,2
466613,Masculino,Nao,23,Nao,Enfermagem,8,Baixa,3
461149,Feminino,Nao,23,Nao,Enfermagem,0,Baixa,3
466068,Feminino,Sim,53,Sim,Artista,2,Baixa,1
461513,Masculino,Nao,33,Sim,Medicina,0,Baixa,2
464761,Feminino,Sim,50,Nao,Engenharia,,Media,4
466236,Feminino,Sim,69,Sim,Engenharia,0,Baixa,2
459664,Masculino,Nao,37,Sim,Artista,2,Baixa,1
461967,Feminino,Nao,20,Nao,Marketing,3,Baixa,4
460516,Feminino,,85,Nao,Direito,0,Alta,1
461710,Feminino,Sim,49,Sim,Medicina,1,Media,4
462742,Masculino,Nao,18,Nao,Enfermagem,0,Baixa,3
459528,Feminino,Sim,52,Sim,Medicina,0,Media,2
462691,Masculino,Sim,25,Nao,Medicina,,Media,2
462934,Masculino,Sim,56,Nao,Empreendedorismo,,Alta,2
465837,Masculino,Nao,62,Sim,,0,Baixa,1
464613,Feminino,Nao,35,,Artista,0,Baixa,3
467515,Masculino,Sim,28,Sim,Engenharia,0,Media,2
463429,Feminino,Nao,28,Sim,Artista,7,Baixa,3
464024,Masculino,Nao,20,Nao,Enfermagem,0,Baixa,5
460691,Feminino,Nao,27,Nao,Responsavel pela Casa,8,Baixa,1
461825,Feminino,Nao,56,Nao,Engenharia,,Baixa,1
467271,Masculino,Sim,45,Sim,Artista,4,Media,4
465634,Masculino,Nao,25,Sim,Enfermagem,1,Baixa,4
464801,Masculino,Nao,40,Nao,Marketing,1,Baixa,1
459429,Feminino,Sim,25,Sim,Enfermagem,,Baixa,2
459888,Feminino,Sim,74,Nao,Direito,,Alta,2
463467,Feminino,Nao,23,Nao,Enfermagem,0,Baixa,4
462036,Feminino,Sim,67,Sim,Direito,0,Alta,2
461282,Masculino,Nao,21,Nao,Enfermagem,0,Baixa,4
460448,Feminino,Nao,38,Sim,Artista,9,Baixa,1
464464,Masculino,Nao,28,Nao,Enfermagem,0,Baixa,4
462410,Feminino,Nao,32,Nao,Enfermagem,1,Baixa,5
467252,Feminino,Nao,33,Sim,,0,Baixa,4
459756,Feminino,Sim,56,Nao,Direito,1,Alta,4
463789,Feminino,Sim,53,Sim,Artista,1,Baixa,2
466947,Masculino,Sim,57,Nao,Empreendedorismo,1,Alta,5
464150,Feminino,Sim,59,Sim,Artista,0,Media,3
465693,Feminino,Sim,25,Sim,Enfermagem,1,Alta,4
461670,Masculino,Sim,59,Sim,Artista,0,Media,6
466768,Feminino,Sim,36,Sim,Artista,0,Baixa,4
461550,Masculino,Sim,37,Sim,Entretenimento,7,Baixa,2
462438,Masculino,Nao,22,Nao,Medicina,1,Baixa,3
460704,Masculino,Sim,43,Sim,Artista,1,Baixa,2
464884,Masculino,Sim,41,Sim,Artista,1,Baixa,2
467050,Feminino,Nao,21,Nao,Engenharia,0,Baixa,5
460738,Feminino,Nao,49,Nao,Engenharia,1,Baixa,
466176,Masculino,Nao,38,Sim,Medicina,8,Baixa,1
459488,Masculino,Sim,47,Nao,Artista,,Media,4
467773,Masculino,Sim,70,Sim,Direito,1,Alta,3
465425,Feminino,Nao,31,Nao,Engenharia,1,Baixa,4
462318,Feminino,Sim,82,Nao,Direito,0,Media,2
466078,Feminino,Sim,51,Nao,Empreendedorismo,,Baixa,1
460792,Feminino,Nao,42,Nao,Responsavel pela Casa,11,Baixa,
460197,Masculino,Nao,38,Sim,Artista,8,Baixa,3
459375,Masculino,Sim,18,Nao,Empreendedorismo,0,Alta,4
463862,Masculino,Sim,50,Sim,Artista,6,Media,3
460144,Feminino,Nao,46,Sim,Medicina,1,Baixa,
462721,Feminino,Sim,72,Nao,Direito,1,Alta,3
459637,Feminino,Nao,33,Nao,Engenharia,,Baixa,4
465809,Feminino,Nao,25,Nao,Responsavel pela Casa,1,Baixa,7
466915,Feminino,Sim,75,Nao,Entretenimento,2,Alta,2
467343,Masculino,Nao,72,Sim,Artista,1,Baixa,1
466268,Feminino,Sim,72,Sim,Artista,0,Media,3
464868,Masculino,Sim,36,Sim,Entretenimento,6,Baixa,6
464038,Masculino,Sim,40,Sim,Artista,1,Baixa,2
460176,Feminino,Nao,28,Sim,Entretenimento,0,Baixa,4
462161,Feminino,Nao,28,Sim,Medicina,0,Baixa,3
464841,Masculino,,19,Nao,Entretenimento,0,Alta,3
464893,Masculino,Sim,43,Sim,Artista,0,Baixa,2
464443,Feminino,Sim,35,Sim,Artista,1,Media,2
467619,Masculino,Sim,65,Sim,Direito,1,Alta,2
465974,Masculino,Sim,52,Sim,Empreendedorismo,7,Alta,4
462075,Feminino,Nao,40,Sim,Artista,1,Baixa,1
459494,Feminino,Sim,69,Nao,Engenharia,9,Baixa,3
466921,Feminino,Nao,22,Nao,Enfermagem,3,Baixa,3
463544,Masculino,Sim,47,Sim,Empreendedorismo,1,Media,4
461167,Masculino,Sim,29,Sim,Marketing,1,Alta,2
467364,Masculino,Sim,46,Sim,Artista,1,Media,3
462408,Masculino,Nao,32,Sim,Artista,1,Baixa,2
466224,Feminino,Nao,38,Sim,Enfermagem,0,Baixa,1
465151,Masculino,Sim,59,Sim,Artista,0,Baixa,1
467216,Feminino,Nao,26,Sim,Entretenimento,1,Baixa,1
460586,Masculino,Nao,26,Sim,Enfermagem,1,Baixa,2
461197,Masculino,Nao,28,Nao,Marketing,0,Baixa,1
462776,Feminino,Sim,53,Sim,Engenharia,1,Media,3
465058,Feminino,Nao,43,,Entretenimento,,Baixa,1
464088,Masculino,Nao,27,Nao,Medicina,1,Baixa,3
459471,Feminino,Nao,32,Nao,Artista,,Baixa,8
464695,Masculino,Nao,26,Nao,Engenharia,0,Baixa,4
462331,Feminino,Nao,31,Nao,Entretenimento,0,Baixa,2
466523,Masculino,Sim,39,Sim,Empreendedorismo,1,Alta,3
465337,Feminino,Sim,43,Nao,Engenharia,1,Baixa,3
460834,Masculino,Sim,25,Nao,Medicina,1,Baixa,2
466824,Masculino,Sim,40,Sim,Artista,3,Alta,3
461607,Feminino,Sim,40,Sim,Entretenimento,7,Media,2
465091,Masculino,Sim,63,Sim,Entretenimento,,Media,3
459532,Feminino,Sim,27,Sim,Enfermagem,,Baixa,2
466999,Masculino,Nao,27,Sim,Enfermagem,1,Baixa,3
466597,Feminino,Nao,19,Nao,Enfermagem,1,Baixa,2
464075,Feminino,Sim,86,Sim,Direito,0,Alta,2
463394,Masculino,Sim,41,Sim,Marketing,,Alta,2
462163,Feminino,Sim,27,Sim,Artista,4,Media,2
463895,Feminino,Sim,70,Nao,Medicina,0,Media,2
464767,Feminino,Sim,53,Nao,Engenharia,8,Media,4
464763,Feminino,Sim,49,Nao,Engenharia,,Media,4
460718,Masculino,Sim,55,Nao,Empreendedorismo,3,Baixa,
461989,Feminino,,57,Sim,Engenharia,0,Media,4
466374,Masculino,Sim,83,Nao,Direito,,Baixa,1
463738,Masculino,Sim,43,Nao,Empreendedorismo,0,Alta,4
465967,Masculino,Sim,36,Nao,Medicina,6,Baixa,3
462260,Masculino,Sim,74,Sim,Direito,0,Baixa,2
467234,Feminino,Nao,30,Nao,Responsavel pela Casa,0,Baixa,4
466573,Feminino,Nao,37,Sim,Artista,5,Baixa,2
463229,Feminino,Nao,22,Nao,Marketing,0,Baixa,1
459768,Masculino,Nao,19,Nao,Enfermagem,0,Baixa,4
462541,Masculino,Sim,70,Sim,Engenharia,4,Alta,2
467714,Masculino,Sim,89,Sim,Direito,13,Baixa,1
467730,Masculino,Nao,18,Nao,Enfermagem,,Baixa,4
459474,Masculino,Nao,25,Sim,Medicina,6,Baixa,1
460093,Feminino,Nao,45,Sim,Artista,4,Baixa,1
467865,Feminino,Nao,35,Sim,Artista,3,Baixa,1
465758,Feminino,Sim,37,Nao,Engenharia,7,Baixa,1
464184,Feminino,Sim,39,Nao,Engenharia,4,Media,2
462618,Feminino,Nao,32,Sim,Enfermagem,1,Baixa,5
464226,Feminino,Sim,62,Sim,Artista,2,Media,3
465432,Feminino,Sim,58,Sim,Engenharia,0,Media,4
464087,Feminino,Nao,32,Nao,Engenharia,,Baixa,4
466627,Masculino,Nao,25,Nao,Enfermagem,0,Baixa,5
467380,Feminino,Sim,56,Sim,Artista,0,Media,4
465842,Feminino,Nao,36,Sim,Entretenimento,10,Baixa,2
464622,Feminino,Nao,30,Nao,Enfermagem,8,Baixa,3
462083,Masculino,Nao,19,Nao,Enfermagem,1,Baixa,5
460910,Masculino,Nao,27,Sim,Enfermagem,0,Baixa,2
460255,Feminino,Nao,38,Sim,Medicina,14,Baixa,1
460109,Masculino,Sim,46,Sim,Artista,8,Media,2
464306,Masculino,Nao,29,Sim,Artista,3,Baixa,1
466835,Masculino,Sim,51,Nao,Entretenimento,1,Media,4
465192,Masculino,Sim,55,Nao,Artista,0,Baixa,1
463380,Feminino,Sim,69,Sim,Engenharia,1,Baixa,1
462391,Feminino,Nao,26,Nao,Enfermagem,1,Baixa,8
467086,Feminino,Sim,83,Sim,Direito,0,Baixa,3
460306,Feminino,Nao,39,Sim,Enfermagem,9,Baixa,1
460752,Masculino,Sim,35,Sim,Artista,9,Baixa,1
467264,Masculino,Sim,19,Nao,Marketing,2,Alta,5
461646,Feminino,Sim,60,Sim,Artista,,Alta,4
463570,Masculino,Sim,35,Sim,Artista,,Media,4
465277,Feminino,Nao,53,Sim,Engenharia,,Baixa,1
467426,Feminino,Sim,86,Nao,Direito,,Baixa,
466258,Feminino,Nao,29,Nao,Enfermagem,1,Baixa,3
463719,Feminino,Nao,26,Nao,Medicina,0,Baixa,1
460032,Masculino,Nao,36,Sim,Engenharia,8,Baixa,1
465175,Feminino,Nao,22,Nao,Responsavel pela Casa,0,Baixa,4
466610,Masculino,Nao,19,Nao,Marketing,0,Baixa,5
459036,Feminino,Sim,20,Sim,Direito,1,Media,3
464047,Masculino,Nao,43,Sim,Enfermagem,3,Baixa,3
459496,Feminino,Nao,42,Sim,Artista,,Baixa,3
459997,Masculino,Nao,43,Sim,Entretenimento,1,Baixa,2
463382,Feminino,Sim,50,Sim,Engenharia,4,Alta,3
460967,Masculino,Nao,25,Sim,Entretenimento,1,Baixa,2
465094,Masculino,Sim,61,Nao,Artista,1,Alta,2
461229,Feminino,Sim,28,Sim,Enfermagem,0,Media,2
466442,Masculino,Nao,38,Sim,Artista,1,Baixa,1
464527,Masculino,Nao,25,Nao,Empreendedorismo,12,Baixa,3
463560,Feminino,Nao,18,Nao,Enfermagem,9,Baixa,5
460011,Masculino,Sim,43,Sim,Entretenimento,1,Media,5
467207,Feminino,Nao,27,Sim,Artista,8,Baixa,1
465177,Feminino,Nao,60,Sim,Entretenimento,1,Baixa,2
467531,Masculino,Sim,75,Sim,Direito,2,Baixa,1
465409,Feminino,Nao,31,Nao,Medicina,,Baixa,4
462842,Masculino,Nao,23,Nao,Medicina,6,Baixa,4
462124,Masculino,Nao,36,Sim,Artista,8,Baixa,1
466265,Masculino,Nao,30,Nao,Medicina,1,Baixa,1
459789,Masculino,Sim,56,Nao,Artista,1,Media,2
464223,Feminino,Sim,52,Sim,Artista,2,Baixa,2
460280,Masculino,Sim,39,Sim,Entretenimento,0,Baixa,1
460331,Feminino,Nao,35,Nao,Artista,5,Baixa,1
461494,Masculino,Sim,33,Nao,Engenharia,0,Media,2
460035,Feminino,Nao,25,Sim,Artista,0,Baixa,6
463812,Feminino,Sim,27,Sim,Artista,0,Media,2
465569,Masculino,Sim,35,Sim,Artista,1,Alta,3
466333,Feminino,Sim,41,Sim,Artista,1,Media,2
467668,Feminino,Sim,49,Sim,Artista,,Media,3
462723,Feminino,Sim,46,Nao,Artista,8,Media,2
460909,Feminino,Nao,31,Nao,Enfermagem,,Baixa,2
467777,Masculino,Nao,49,Sim,Medicina,,Baixa,1
462404,Feminino,Nao,26,Sim,Artista,9,Baixa,1
461799,Masculino,Sim,43,Sim,Medicina,13,Alta,2
459933,Feminino,Sim,30,Sim,Artista,8,Baixa,4
463717,Feminino,Sim,70,Sim,Artista,1,Media,4
463652,Feminino,Nao,28,Sim,Artista,,Baixa,1
462149,Feminino,Sim,89,Nao,Direito,3,Alta,1
462769,Feminino,Sim,42,Nao,Responsavel pela Casa,6,Alta,4
465532,Feminino,Sim,37,Sim,Entretenimento,6,Media,3
462829,Masculino,Sim,29,Nao,Empreendedorismo,1,Media,3
459210,Feminino,Sim,68,Sim,Artista,1,Alta,2
464659,Feminino,Nao,25,Nao,Engenharia,1,Baixa,1
461411,Masculino,Nao,29,Nao,Enfermagem,1,Baixa,
467759,Feminino,Sim,48,Sim,Medicina,0,Baixa,2
461475,Feminino,Sim,51,Sim,Medicina,1,Media,3
462714,Feminino,Sim,40,Sim,Engenharia,1,Alta,5
466890,Masculino,Sim,47,Sim,Artista,0,Media,6
462888,Masculino,Sim,39,Sim,Empreendedorismo,,Alta,3
467479,Masculino,Sim,35,Sim,Empreendedorismo,1,Media,4
466799,Feminino,Nao,19,Nao,Enfermagem,2,Baixa,3
466557,Feminino,Nao,21,Nao,Enfermagem,7,Baixa,
460873,Masculino,Sim,46,Sim,Entretenimento,0,Media,3
466776,Masculino,Sim,86,Sim,Direito,0,Baixa,1
459462,Masculino,Sim,66,Sim,Artista,0,Alta,2
465727,Masculino,Nao,42,Nao,Marketing,1,Baixa,5
462348,Feminino,Sim,73,Sim,Direito,1,Alta,2
460941,Masculino,Sim,72,Nao,Engenharia,1,Baixa,1
461629,Masculino,Sim,53,Sim,Artista,0,Baixa,3
459907,Feminino,Sim,39,Sim,Artista,8,Media,2
467146,Feminino,Nao,27,Nao,Responsavel pela Casa,9,Baixa,1
460916,Masculino,Sim,63,Nao,Entretenimento,1,Media,
459196,Feminino,Nao,23,Nao,Enfermagem,1,Baixa,3
465444,Feminino,Nao,30,Sim,Entretenimento,0,Baixa,4
464186,Feminino,Sim,39,Sim,Artista,5,Media,2
466412,Masculino,Sim,26,Sim,Artista,1,Media,3
459480,Feminino,Sim,50,Sim,Entretenimento,7,Baixa,3
467880,Feminino,Sim,45,Sim,Artista,1,Media,2
460216,Feminino,Nao,62,Nao,Entretenimento,2,Baixa,1
467941,Feminino,Nao,27,Sim,Medicina,1,Baixa,3
466090,Masculino,Sim,57,Sim,Entretenimento,1,Baixa,
462572,Feminino,Sim,30,Nao,Engenharia,1,Media,7
467443,Masculino,Nao,32,Nao,Enfermagem,7,Baixa,4
462548,Masculino,Nao,18,,Empreendedorismo,,Baixa,5
459701,Masculino,Nao,47,Nao,Artista,3,Baixa,3
461139,Feminino,Nao,32,Sim,Artista,4,Baixa,4
461115,Feminino,Sim,32,Nao,Engenharia,5,Baixa,3
459027,Masculino,Sim,67,Sim,Medicina,1,Media,4
467340,Feminino,Sim,77,Sim,Direito,0,Alta,2
